Probe	AGI	col_l_1	col_l_2	col_l_3	col_s_1	col_s_2	col_s_3	cop1_l_1	cop1_l_2	cop1_l_2	cop1_s_1	cop1_s_2	cop1_s_2	pifq_l_1	pifq_l_2	pifq_l_3	pifq_s_1	pifq_s_2	pifq_s_3
244901_at	ATMG00640	6.57	5.91	7.03	6.90	5.88	6.88	6.24	6.94	7.76	6.15	5.65	7.05	6.04	6.04	6.00	6.50	5.96	7.58
244902_at	ATMG00650	6.76	5.96	7.06	5.62	6.08	7.05	5.86	6.43	4.97	5.31	6.56	2.17	5.73	6.22	6.34	6.27	5.41	2.84
244903_at	ATMG00660	7.34	7.58	8.25	6.99	7.47	7.53	8.04	7.68	7.83	7.43	6.91	3.45	7.72	7.69	7.60	7.44	6.84	7.32
244904_at	ATMG00670	4.09	2.85	5.42	4.13	1.84	6.73	3.88	2.73	3.77	4.25	5.86	3.03	3.99	1.45	3.53	4.84	2.74	6.84
244905_at	ATMG00680	1.28	2.78	3.12	5.59	6.25	2.25	2.95	2.25	3.13	4.20	3.38	3.71	4.21	4.56	2.74	5.01	4.87	2.37
244906_at	ATMG00690	6.47	5.22	2.45	7.24	6.28	6.90	6.14	2.47	7.54	6.39	6.01	6.96	5.89	5.92	5.76	6.77	5.92	4.12
244907_at	ATMG00710	4.90	1.88	2.45	2.80	5.41	4.10	1.97	5.00	2.65	3.18	1.38	5.99	4.48	3.11	6.05	5.62	5.99	2.94
244908_at	ATMG00720	3.55	1.72	3.70	5.00	2.51	2.51	3.06	4.16	2.14	1.24	3.39	6.43	0.72	3.37	6.26	2.05	5.43	2.78
244909_at	ATMG00740	3.55	4.88	2.76	6.35	3.30	2.58	3.63	2.80	6.08	4.24	3.99	3.98	4.86	3.42	2.03	5.15	1.86	5.70
244910_s_at	ATMG00750	5.20	4.23	4.06	5.78	6.14	3.80	4.27	3.13	7.64	2.76	3.30	5.95	4.79	2.53	5.62	4.00	5.97	3.84
244911_at	ATMG00820	4.56	4.90	6.05	3.53	4.68	1.16	6.04	6.47	3.68	4.54	2.29	6.35	1.85	1.46	5.97	1.10	2.19	3.90
244912_at	AT2G07783	10.37	10.93	10.73	10.23	10.43	11.26	11.97	11.72	11.50	11.62	11.30	11.26	11.50	9.39	10.62	10.94	10.02	10.60
244913_at	ATMG00840	3.15	1.14	1.66	2.49	3.96	2.45	3.01	1.64	6.39	3.09	3.01	2.67	2.14	0.50	2.12	1.86	6.14	1.97
244914_at	ATMG00850	3.12	1.29	2.88	1.32	1.85	3.77	4.64	5.07	5.89	2.66	2.01	6.14	0.78	4.95	3.33	0.69	4.95	2.47
244915_s_at	ATMG00860	4.43	5.41	6.63	1.88	3.34	5.92	1.41	2.44	6.06	5.71	2.30	4.36	4.82	1.14	5.73	3.22	3.60	4.52
244916_at	ATMG00880	1.54	5.59	5.17	5.62	5.66	7.06	5.46	1.34	4.41	6.06	2.93	2.94	0.98	4.90	6.12	2.32	3.36	3.39
244917_at	ATMG00870	2.91	1.89	2.60	0.63	2.03	4.71	1.30	2.93	4.52	4.85	1.71	6.57	4.62	1.49	1.49	1.88	2.51	2.99
244918_at	ATMG00890	5.06	1.78	4.39	2.55	1.81	3.94	4.26	2.82	2.14	5.20	2.34	1.93	0.25	1.17	3.80	0.59	5.43	7.37
244919_at	AT2G07768	4.93	5.69	6.59	5.30	5.31	6.29	5.25	4.63	3.60	4.91	4.85	2.99	5.37	5.20	2.48	3.93	5.66	3.54
